FILIAL,DATA,DEBITO,CREDITO,VALOR,HISTORICO
,10/03/2022,,10164,53.46,"10.01,630276895-2/2, 630276895-1/2"
,16/03/2022,,10164,194.94,"10.01,635209191-2/2, 635209191-1/2"
,13/03/2022,,10164,101.0,"10.01,633042330-1/1"
,16/03/2022,,10164,500.0,"10.01,635209553-1/1"
,01/03/2022,45534,10164,604.0,"10.01,627764966-1/1"
,01/03/2022,45534,10164,250.0,"10.01,627764956-1/1"
,01/03/2022,45534,10164,661.0,"10.01,627765351-1/1"
,19/03/2022,511077,10164,430.0,"10.01,CNF 638684726 / RC 638749730 / NFC-E 000047425"
,23/03/2022,511077,10164,1738.8,"10.01,CNF 639690586 / RC 640078168 / NFC-E 000040221"
,31/03/2022,511077,10164,1149.0,"10.01,CNF 642905681 / RC 643696726 / NFC-E 000007709 / RC 643694846"
,06/03/2022,511077,10164,399.0,"10.01,NFC-E 000039816"
,07/03/2022,511077,10164,499.0,"10.01,NFC-E 000047184"
,15/03/2022,511077,10164,499.65,"10.01,NFC-E 000047348"
,27/03/2022,511077,10164,899.01,"10.01,NFC-E 000047533"
,14/03/2022,10225,10164,256.65,"10.01,CNF 636163635 / RC 636376836 / NFC-E 000039999"
,23/03/2022,10225,10164,2667.44,"10.01,CNF 639829041 / RC 639990341 / RC 639992115 / RC 639992383 / NFC-E 000040210 / RC 639992651"
,11/03/2022,10225,10164,269.23,"10.01,NFC-E 000007504"
,17/03/2022,10225,10164,205.84,"10.01,NFC-E 000040076"
,21/03/2022,10225,10164,539.0,"10.01,NFC-E 000040182"
,28/03/2022,10225,10164,557.17,"10.01,NFC-E 000040299"
,31/03/2022,10225,10164,179.0,"10.01,NFC-E 000007699"
,26/03/2022,10221,10164,1126.0,"10.01,CNF 640374059 / NFC-E 000062283"
,27/03/2022,10221,10164,2915.52,"10.01,CNF 641233656 / NFC-E 000062303"
,30/03/2022,10221,10164,342.0,"10.01,CNF 642579252 / NFC-E 000040336 / RC 642675864"
,24/03/2022,10221,10164,149.0,"10.01,NFC-E 000047511"
,25/03/2022,10221,10164,269.0,"10.01,NFC-E 000007660"
,28/03/2022,10221,10164,284.3,"10.01,NFC-E 000040307"
,29/03/2022,10221,10164,1049.0,"10.01,NFC-E 000040317"
,29/03/2022,10221,10164,514.0,"10.01,NFC-E 000007683"
,30/03/2022,10221,10164,208.71,"10.01,NFC-E 000040328"
,30/03/2022,10221,10164,799.01,"10.01,NFC-E 000047595"
,30/03/2022,10221,10164,179.0,"10.01,NFC-E 000040344"
,30/03/2022,10221,10164,557.17,"10.01,NFC-E 000040346"
,30/03/2022,10221,10164,265.32,"10.01,NFC-E 000047599"
,31/03/2022,10221,10164,149.0,"10.01,NFC-E 000047615"
,07/03/2022,45764,10164,1863.56,"10.01,CNF 632653173 / NFE 000029974"
,07/03/2022,45764,10164,485.66,"10.01,CNF 632846587 / RC 633012603 / NFC-E 000039864 / RC 633012589"
,08/03/2022,45764,10164,1611.0,"10.01,CNF 633505969 / NFC-E 000061846"
,08/03/2022,45764,10164,706.88,"10.01,CNF 633667726 / RC 635074507 / NFC-E 000061906"
,08/03/2022,45764,10164,548.0,"10.01,CNF 633725295 / NFC-E 000047212 / RC 633748636"
,12/03/2022,45764,10164,154.29,"10.01,CNF 635799383 / NFC-E 000007517 / RC 635861117"
,14/03/2022,45764,10164,383.35,"10.01,CNF 636011710 / NFC-E 000040025"
,18/03/2022,45764,10164,143.2,"10.01,CNF 638224134 / RC 638251993 / NFC-E 000007580"
,29/03/2022,45764,10164,924.0,"10.01,CNF 641800293 / RC 641954576 / NFE 000030033"
,29/03/2022,45764,10164,448.0,"10.01,CNF 642234078 / RC 642313847 / NFC-E 000040325"
,01/03/2022,45764,10164,299.0,"10.01,NFC-E 000039741"
,02/03/2022,45764,10164,300.0,"10.01,NFC-E 000047062"
,03/03/2022,45764,10164,211.2,"10.01,NFC-E 000007408"
,05/03/2022,45764,10164,174.06,"10.01,NFC-E 000039811"
,10/03/2022,45764,10164,59.0,"10.01,NFC-E 000039922"
,10/03/2022,45764,10164,211.92,"10.01,NFC-E 000007486"
,12/03/2022,45764,10164,269.23,"10.01,NFC-E 000007508"
,12/03/2022,45764,10164,204.72,"10.01,NFC-E 000039969"
,14/03/2022,45764,10164,201.99,"10.01,NFC-E 000047313"
,14/03/2022,45764,10164,90.59,"10.01,NFC-E 000040000"
,15/03/2022,45764,10164,113.31,"10.01,NFC-E 000047341"
,19/03/2022,45764,10164,161.4,"10.01,NFC-E 000047423"
,19/03/2022,45764,10164,116.49,"10.01,NFC-E 000047441"
,24/03/2022,45764,10164,569.65,"10.01,NFC-E 000040232"
,24/03/2022,45764,10164,319.2,"10.01,NFC-E 000040237"
,24/03/2022,45764,10164,116.49,"10.01,NFC-E 000007639"
,25/03/2022,45764,10164,170.04,"10.01,NFC-E 000007651"
,26/03/2022,45764,10164,217.14,"10.01,NFC-E 000040262"
,29/03/2022,45764,10164,499.0,"10.01,NFC-E 000040312"
,29/03/2022,45764,10164,118.88,"10.01,NFC-E 000047583"
,30/03/2022,45764,10164,125.18,"10.01,NFC-E 000007689"
,31/03/2022,45764,10164,32.17,"10.01,NFC-E 000040363"
,01/03/2022,10221,10164,170.0,"10.01,CNF 629977924 / RC 630125238 / NFC-E 000039723"
,01/03/2022,10221,10164,254.76,"10.01,CNF 630093545 / RC 630217950 / NFC-E 000039729"
,01/03/2022,10221,10164,723.29,"10.01,CNF 630216530 / RC 630391073 / NFC-E 000007373"
,02/03/2022,10221,10164,984.0,"10.01,CNF 630381695 / NFC-E 000039749 / RC 630796339"
,02/03/2022,10221,10164,250.0,"10.01,CNF 630393128 / RC 630663538 / NFC-E 000047060"
,02/03/2022,10221,10164,316.0,"10.01,CNF 630559147 / RC 631253969 / NFE 000004920"
,02/03/2022,10221,10164,579.6,"10.01,CNF 630704231 / RC 630858314 / NFC-E 000047064"
,03/03/2022,10221,10164,236.54,"10.01,CNF 630767525 / RC 631064355 / NFC-E 000039765"
,03/03/2022,10221,10164,896.63,"10.01,CNF 630767597 / NFE 000016962"
,03/03/2022,10221,10164,1904.76,"10.01,CNF 630899558 / NFC-E 000007423"
,03/03/2022,10221,10164,574.57,"10.01,CNF 631020743 / NFC-E 000047087 / RC 631471173"
,03/03/2022,10221,10164,307.7,"10.01,CNF 631050931 / RC 631251707 / RC 631251654 / NFC-E 000039770"
,03/03/2022,10221,10164,1084.0,"10.01,CNF 631051006 / RC 631251774 / NFC-E 000007383"
,03/03/2022,10221,10164,197.36,"10.01,CNF 631189460 / NFC-E 000047080 / RC 631332202"
,03/03/2022,10221,10164,2261.16,"10.01,CNF 631189624 / NFC-E 000061736"
,03/03/2022,10221,10164,1084.0,"10.01,CNF 631286254 / RC 631457011 / NFC-E 000007391"
,03/03/2022,10221,10164,245.41,"10.01,CNF 631286308 / NFC-E 000047086 / RC 631459686"
,04/03/2022,10221,10164,2147.16,"10.01,CNF 631411472 / NFC-E 000021412"
,04/03/2022,10221,10164,3445.6,"10.01,CNF 631471700 / NFC-E 000061715"
,04/03/2022,10221,10164,168.56,"10.01,CNF 631472642 / NFC-E 000061754"
,04/03/2022,10221,10164,602.7,"10.01,CNF 631785697 / NFC-E 000061737"
