"4o. Agrupamento","Descrição","Crédito","Emissão","Valor"
"Cart Hipercard Rede - 12345","CNF 220348574 / NFC-e 000026841",,"21/07/2019","922,2"
"Cart Hipercard Rede - 12345","NFC-e 000021648",,"06/07/2019","289,01"
"Cart Elo Credito Cielo","NFC-e 000022473",,"28/07/2019","500"
"Cart Mastercard Rede","CNF 112007797 / NFC-e 000025845",,"01/07/2019","1175,7"
"Cart Mastercard Rede","CNF 113485805 / NFC-e 000025846",,"01/07/2019","1099"
"Cart Mastercard Rede","CNF 115641473 / NFC-e 000025848",,"01/07/2019","1974,01"
"Cart Mastercard Rede","CNF 115739395 / NFC-e 000025798",,"01/07/2019","1240,4"
"Cart Mastercard Rede","CNF 115884452 / NFC-e 000025927",,"01/07/2019","1520,4"
"Cart Mastercard Rede","CNF 119047010 / NFC-e 000010067",,"01/07/2019","985,75"
"Cart Mastercard Rede","CNF 121718734 / NFe 000026949",,"02/07/2019","4039,6"
"Cart Mastercard Rede","CNF 124366505 / NFC-e 000025841",,"01/07/2019","1267,32"
"Cart Mastercard Rede","CNF 124624301 / NFC-e 000025930",,"02/07/2019","1715,18"
"Cart Mastercard Rede","CNF 125777224 / NFC-e 000025908",,"02/07/2019","1413,1"
"Cart Mastercard Rede","CNF 133677492 / NFC-e 000008494",,"03/07/2019","3164,64"
"Cart Mastercard Rede","CNF 135629389 / RC 133576240 / NFC-e 000021489",,"02/07/2019","116"
"Cart Mastercard Rede","CNF 139493616 / NFe 000026955",,"03/07/2019","1403,4"
"Cart Mastercard Rede","CNF 142107567 / RC 143996658 / NFC-e 000021940",,"03/07/2019","487"
"Cart Mastercard Rede","CNF 142258865 / NFC-e 000025924",,"03/07/2019","1439,7"
"Cart Mastercard Rede","CNF 144683273 / NFC-e 000025926",,"03/07/2019","1623,64"
"Cart Mastercard Rede","CNF 144683471 / NFC-e 000021548 / RC 150189989",,"04/07/2019","833,99"
"Cart Mastercard Rede","CNF 146185252 / RC 151524792 / NFC-e 000021986",,"04/07/2019","1317,8"
"Cart Mastercard Rede","CNF 146185342 / NFC-e 000026016",,"04/07/2019","1290,24"
"Cart Mastercard Rede","CNF 146301819 / RC 147221229 / NFC-e 000021964",,"03/07/2019","416"
"Cart Mastercard Rede","CNF 147195096 / NFC-e 000026021",,"04/07/2019","1272,58"
"Cart Mastercard Rede","CNF 148372169 / RC 152291349 / NFC-e 000021990",,"04/07/2019","167"
"Cart Mastercard Rede","CNF 153557821 / NFC-e 000026006",,"04/07/2019","1597,36"
"Cart Mastercard Rede","CNF 155201680 / RC 160005107 / NFC-e 000021585",,"05/07/2019","416"
"Cart Mastercard Rede","CNF 159256726 / NFC-e 000026029",,"05/07/2019","1198,8"
"Cart Mastercard Rede","CNF 162562067 / NFC-e 000026081",,"05/07/2019","1096,6"
"Cart Mastercard Rede","CNF 163599419 / RC 165420284 / NFC-e 000026039",,"05/07/2019","3076,7"
"Cart Mastercard Rede","CNF 163915949 / NFC-e 000026116",,"06/07/2019","1744"
"Cart Mastercard Rede","CNF 168046591 / NFC-e 000026167 / NFC-e 000022065",,"06/07/2019","738"
"Cart Mastercard Rede","CNF 174924395 / NFC-e 000026113",,"06/07/2019","188,84"
"Cart Mastercard Rede","CNF 176092720 / RC 178241553 / NFC-e 000022098",,"06/07/2019","596,99"
"Cart Mastercard Rede","CNF 177309866 / RC 178241349 / NFC-e 000021654",,"06/07/2019","48,82"
"Cart Mastercard Rede","CNF 177704725 / NFe 000026962",,"06/07/2019","1237,01"
"Cart Mastercard Rede","CNF 178274359 / NFC-e 000026121",,"06/07/2019","1229"
"Cart Mastercard Rede","CNF 179420989 / NFC-e 000026124",,"07/07/2019","1507,28"
"Cart Mastercard Rede","CNF 180251192 / RC 184085853 / NFC-e 000022353",,"16/07/2019","332"
